('4122.28', '1608.05')
('4150.01', '1608.05')
('4700.13', '1678.10')
('5276.52', '1683.93')
('4088.72', '1983.07')
('4114.98', '1984.53')
('4142.71', '1984.53')
('4170.44', '1984.53')
('4198.16', '1984.53')
('4225.89', '1984.53')
('4253.61', '1984.53')
('4281.34', '1985.99')
('4309.06', '1985.99')
('4335.33', '1985.99')
('4363.05', '1984.53')
('4390.78', '1985.99')
('4412.66', '1985.99')
('4446.23', '1985.99')
('4472.49', '1985.99')
('4609.66', '1987.45')
('4638.84', '1988.91')
('4665.11', '1988.91')
('4692.83', '1988.91')
('4722.02', '1988.91')
('4748.28', '1990.37')
('4776.01', '1990.37')
('4803.73', '1991.83')
('4831.46', '1991.83')
('4859.18', '1991.83')
('4885.45', '1991.83')
('4913.18', '1993.29')
('4940.90', '1993.29')
('4968.63', '1993.29')
('4996.35', '1993.29')
('5022.62', '1994.75')
('5050.34', '1993.29')
('5078.07', '1993.29')
('5105.79', '1994.75')
